x        y        z        latitude        longitude         altitude         
-3.27322688  -3.00953842  86.97000000  39.47206202  115.62467103  86.97000000  
-3.45669030  -3.13551243  86.96000000  39.47206086  115.62466892  86.96000000  
-3.63848417  -3.26484229  86.96000000  39.47205967  115.62466683  86.96000000  
-3.97140655  -3.48733600  86.96000000  39.47205762  115.62466300  86.96000000  
-4.15400981  -3.61332312  86.96000000  39.47205646  115.62466090  86.96000000  
-4.33750713  -3.74151684  86.96000000  39.47205528  115.62465879  86.96000000  
-4.62885283  -3.94577302  86.97000000  39.47205340  115.62465544  86.97000000  
-4.80889250  -4.07290938  86.98000000  39.47205223  115.62465337  86.98000000  
-4.99149578  -4.19889648  86.98000000  39.47205107  115.62465127  86.98000000  
-5.17409907  -4.32488358  86.99000000  39.47204991  115.62464917  86.99000000  
-5.51039451  -4.54288526  86.98000000  39.47204790  115.62464530  86.98000000  
-5.69972682  -4.65877856  86.98000000  39.47204683  115.62464312  86.98000000  
-5.88658023  -4.78137041  86.98000000  39.47204570  115.62464097  86.98000000  
-6.21447716  -5.01282170  86.98000000  39.47204357  115.62463720  86.98000000  
-6.39713131  -5.14213836  86.99000000  39.47204238  115.62463510  86.99000000  
-6.57720491  -5.27149441  87.00000000  39.47204119  115.62463303  87.00000000  
-6.86932621  -5.47018806  87.01000000  39.47203936  115.62462967  87.01000000  
-7.05108632  -5.59729811  87.01000000  39.47203819  115.62462758  87.01000000  
-7.23453292  -5.72216217  87.01000000  39.47203704  115.62462547  87.01000000  
-7.56485802  -5.94358526  87.02000000  39.47203500  115.62462167  87.02000000  
-7.74661815  -6.07069529  87.02000000  39.47203383  115.62461958  87.02000000  
-7.93004783  -6.19444947  87.02000000  39.47203269  115.62461747  87.02000000  
-8.22132596  -6.39426607  87.02000000  39.47203085  115.62461412  87.02000000  
-8.40217511  -6.51805963  87.02000000  39.47202971  115.62461204  87.02000000  
-8.58046065  -6.64300243  87.02000000  39.47202856  115.62460999  87.02000000  
-8.75791990  -6.77017809  87.03000000  39.47202739  115.62460795  87.03000000  
-9.07888473  -6.99840470  87.03000000  39.47202529  115.62460426  87.03000000  
-9.26143733  -7.12106212  87.03000000  39.47202416  115.62460216  87.03000000  
-9.44311281  -7.24262280  87.04000000  39.47202304  115.62460007  87.04000000  
-9.77251011  -7.45961947  87.04000000  39.47202104  115.62459628  87.04000000  
-9.95168976  -7.58676884  87.03000000  39.47201987  115.62459422  87.03000000  
-10.13085248  -7.71280834  87.03000000  39.47201871  115.62459216  87.03000000  
-10.42035953  -7.90932153  87.03000000  39.47201690  115.62458883  87.03000000  
-10.59861126  -8.03204456  87.04000000  39.47201577  115.62458678  87.04000000  
-10.77942661  -8.15361834  87.04000000  39.47201465  115.62458470  87.04000000  
-10.95772917  -8.27967096  87.05000000  39.47201349  115.62458265  87.05000000  
-11.27867718  -8.50678762  87.05000000  39.47201140  115.62457896  87.05000000  
-11.46031885  -8.62612853  87.05000000  39.47201030  115.62457687  87.05000000  
-11.63946468  -8.75105814  87.05000000  39.47200915  115.62457481  87.05000000  
-11.92811163  -8.94758440  87.05000000  39.47200734  115.62457149  87.05000000  
-12.10471080  -9.07477311  87.05000000  39.47200617  115.62456946  87.05000000  
-12.28044980  -9.20197494  87.05000000  39.47200500  115.62456744  87.05000000  
-12.45956177  -9.32468480  87.06000000  39.47200387  115.62456538  87.06000000  
-12.74647146  -9.52012743  87.06000000  39.47200207  115.62456208  87.06000000  
-12.92640975  -9.64060443  87.06000000  39.47200096  115.62456001  87.06000000  
-13.10636498  -9.76219128  87.06000000  39.47199984  115.62455794  87.06000000  
-13.28632023  -9.88377813  87.06000000  39.47199872  115.62455587  87.06000000  
-13.60800997  -10.10311254  87.07000000  39.47199670  115.62455217  87.07000000  
-13.78794829  -10.22358951  87.07000000  39.47199559  115.62455010  87.07000000  
-13.96702643  -10.34407961  87.07000000  39.47199448  115.62454804  87.07000000  
-14.29035188  -10.55783841  87.08000000  39.47199251  115.62454432  87.08000000  
-14.46856985  -10.67834163  87.09000000  39.47199140  115.62454227  87.09000000  
-14.64596153  -10.80107771  87.09000000  39.47199027  115.62454023  87.09000000  
-14.96761747  -11.01819233  87.09000000  39.47198827  115.62453653  87.09000000  
-15.14416592  -11.14205138  87.10000000  39.47198713  115.62453450  87.10000000  
-15.46492783  -11.35695938  87.10000000  39.47198515  115.62453081  87.10000000  
-15.64312889  -11.47635271  87.11000000  39.47198405  115.62452876  87.11000000  
-15.82299951  -11.59239019  87.11000000  39.47198298  115.62452669  87.11000000  
-16.14957945  -11.79388791  87.12000000  39.47198112  115.62452293  87.12000000  
-16.32862378  -11.91215823  87.12000000  39.47198003  115.62452087  87.12000000  
-16.51107497  -12.02815630  87.12000000  39.47197896  115.62451877  87.12000000  
-16.83187083  -12.24528398  87.12000000  39.47197696  115.62451508  87.12000000  
-17.01093213  -12.36466415  87.12000000  39.47197586  115.62451302  87.12000000  
-17.18909936  -12.48183772  87.12000000  39.47197478  115.62451097  87.12000000  
-17.50812407  -12.69566204  87.13000000  39.47197281  115.62450730  87.13000000  
-17.68629132  -12.81283560  87.14000000  39.47197173  115.62450525  87.14000000  
-17.86525099  -12.92555657  87.15000000  39.47197069  115.62450319  87.15000000  
-18.14860163  -13.11328248  87.16000000  39.47196896  115.62449993  87.16000000  
-18.32594260  -13.23268888  87.16000000  39.47196786  115.62449789  87.16000000  
-18.50242339  -13.35210841  87.16000000  39.47196676  115.62449586  87.16000000  
-18.67974742  -13.47040494  87.16000000  39.47196567  115.62449382  87.16000000  
-19.00297149  -13.67750437  87.16000000  39.47196376  115.62449010  87.16000000  
-19.18198202  -13.79355490  87.16000000  39.47196269  115.62448804  87.16000000  
-19.36100951  -13.91071529  87.16000000  39.47196161  115.62448598  87.16000000  
-19.53833357  -14.02901180  87.16000000  39.47196052  115.62448394  87.16000000  
-19.82257836  -14.21894425  87.17000000  39.47195877  115.62448067  87.17000000  
-19.99905919  -14.33836374  87.17000000  39.47195767  115.62447864  87.17000000  
-20.17388743  -14.46224895  87.18000000  39.47195653  115.62447663  87.18000000  
-20.35122846  -14.58165530  87.18000000  39.47195543  115.62447459  87.18000000  
-20.53025598  -14.69881567  87.18000000  39.47195435  115.62447253  87.18000000  
-20.70928350  -14.81597603  87.18000000  39.47195327  115.62447047  87.18000000  
-21.03168138  -15.02530823  87.19000000  39.47195134  115.62446676  87.19000000  
-21.20821308  -15.14805729  87.19000000  39.47195021  115.62446473  87.19000000  
-21.52981856  -15.36184205  87.19000000  39.47194824  115.62446103  87.19000000  
-21.71051566  -15.47564654  87.20000000  39.47194719  115.62445895  87.20000000  
-21.88952628  -15.59169701  87.21000000  39.47194612  115.62445689  87.21000000  
-22.06772755  -15.71109020  87.22000000  39.47194502  115.62445484  87.22000000  
-22.38602788  -15.93380636  87.22000000  39.47194297  115.62445118  87.22000000  
-22.56510629  -16.05429627  87.22000000  39.47194186  115.62444912  87.22000000  
-22.74924415  -16.16804821  87.22000000  39.47194081  115.62444700  87.22000000  
-23.07602777  -16.38286399  87.22000000  39.47193883  115.62444324  87.22000000  
-23.25094081  -16.51229844  87.22000000  39.47193764  115.62444123  87.22000000  
-23.42581998  -16.63951316  87.23000000  39.47193647  115.62443922  87.23000000  
